Entity,Year,Rate - Household air pollution from solid fuels,Rate - Ambient particulate matter pollution,Rate - Ambient ozone pollution
China,2008,0.291588716,0.558965969,0.149445315
China,2009,0.275658359,0.577223284,0.147118357
China,2010,0.26013748,0.59491988,0.144942639
China,2011,0.243989515,0.614536587,0.141473897
China,2012,0.245251455,0.613446792,0.141301753
China,2013,0.231457935,0.630496942,0.138045123
China,2014,0.228112364,0.633193234,0.138694403
China,2015,0.220719105,0.641434617,0.137846278
China,2016,0.226721948,0.631057306,0.142220746
China,2017,0.207141156,0.647063984,0.145794861
India,2008,0.477088686,0.409693025,0.113218289
India,2009,0.466983427,0.419574383,0.11344219
India,2010,0.457285405,0.42918024,0.113534355
India,2011,0.445852054,0.440962662,0.113185284
India,2012,0.451199164,0.434258937,0.1145419
India,2013,0.428013592,0.456273869,0.11571254
India,2014,0.412849732,0.468871455,0.118278813
India,2015,0.396096667,0.484011198,0.119892135
India,2016,0.383370767,0.494575684,0.122053549
India,2017,0.366916021,0.509116566,0.123967413
Indonesia,2008,0.647627771,0.317203612,0.035168616
Indonesia,2009,0.641068617,0.323551775,0.035379608
Indonesia,2010,0.63334337,0.330617039,0.036039591
Indonesia,2011,0.622155675,0.341044968,0.036799357
Indonesia,2012,0.607551845,0.355213837,0.037234319
Indonesia,2013,0.605638837,0.356062358,0.038298804
Indonesia,2014,0.596402739,0.36453224,0.039065021
Indonesia,2015,0.577365813,0.382159128,0.040475059
Indonesia,2016,0.563149683,0.394560464,0.042289853
Indonesia,2017,0.545466805,0.410386693,0.044146503
Japan,2008,0.002648019,0.905360476,0.091991505
Japan,2009,0.002568134,0.904471332,0.092960534
Japan,2010,0.002496493,0.90328534,0.094218168
Japan,2011,0.002419821,0.902582264,0.094997915
Japan,2012,0.00248242,0.898097275,0.099420305
Japan,2013,0.002362975,0.898336683,0.099300341
Japan,2014,0.00240255,0.894666221,0.102931229
Japan,2015,0.002291905,0.894375327,0.103332768
Japan,2016,0.00237635,0.888702576,0.108921074
Japan,2017,0.00227127,0.888678705,0.109050025
Malaysia,2008,0.075475055,0.889914894,0.034610052
Malaysia,2009,0.07354976,0.893164323,0.033285917
Malaysia,2010,0.070910089,0.897010094,0.032079817
Malaysia,2011,0.064595242,0.905302606,0.030102151
Malaysia,2012,0.059386497,0.911453288,0.029160215
Malaysia,2013,0.058502233,0.911391846,0.030105921
Malaysia,2014,0.05526741,0.913798886,0.030933703
Malaysia,2015,0.048619327,0.920512713,0.03086796
Malaysia,2016,0.049023646,0.917884391,0.033091963
Malaysia,2017,0.043147408,0.923198126,0.033654466
Philippines,2008,0.656850117,0.33210802,0.011041863
Philippines,2009,0.658848024,0.33002936,0.011122616
Philippines,2010,0.658721977,0.330002262,0.011275761
Philippines,2011,0.664004637,0.324357652,0.01163771
Philippines,2012,0.654200302,0.333576197,0.012223502
Philippines,2013,0.658993889,0.328350383,0.012655728
Philippines,2014,0.661263531,0.32558815,0.013148318
Philippines,2015,0.65892903,0.327413347,0.013657623
Philippines,2016,0.660776653,0.324722535,0.014500812
Philippines,2017,0.653862569,0.33092018,0.015217251
Singapore,2008,0.003212696,0.969287413,0.027499891
Singapore,2009,0.002915073,0.968346452,0.028738475
Singapore,2010,0.002730817,0.967120727,0.030148456
Singapore,2011,0.002656096,0.965256184,0.03208772
Singapore,2012,0.002325785,0.965831419,0.031842796
Singapore,2013,0.002344374,0.963269425,0.034386201
Singapore,2014,0.002374793,0.961206376,0.036418831
Singapore,2015,0.001896,0.963164828,0.034939172
Singapore,2016,0.001910493,0.96023558,0.037853928
Singapore,2017,0.001771014,0.958055971,0.040173015
South Korea,2008,0.001067866,0.914088799,0.084843335
South Korea,2009,0.000980967,0.915499498,0.083519535
South Korea,2010,0.00092782,0.916295827,0.082776353
South Korea,2011,0.00084452,0.916889796,0.082265684
South Korea,2012,0.000839769,0.915923854,0.083236378
South Korea,2013,0.000749949,0.917798027,0.081452024
South Korea,2014,0.000752991,0.916017839,0.08322917
South Korea,2015,0.000688519,0.915715509,0.083595972
South Korea,2016,0.000709526,0.910007573,0.089282902
South Korea,2017,0.000684866,0.908133502,0.091181633
Thailand,2008,0.344892422,0.62496766,0.030139918
Thailand,2009,0.329054057,0.641566574,0.02937937
Thailand,2010,0.311662619,0.659582653,0.028754728
Thailand,2011,0.289187449,0.682687922,0.028124629
Thailand,2012,0.267979842,0.704858136,0.027162022
Thailand,2013,0.250669716,0.723181305,0.026148979
Thailand,2014,0.241018909,0.733151105,0.025829986
Thailand,2015,0.233257368,0.741228774,0.025513858
Thailand,2016,0.219616683,0.754604353,0.025778965
Thailand,2017,0.202984678,0.770446231,0.026569091
Vietnam,2008,0.538976129,0.424917051,0.03610682
Vietnam,2009,0.520867682,0.442917289,0.036215029
Vietnam,2010,0.497964887,0.465406433,0.03662868
Vietnam,2011,0.482575622,0.480207855,0.037216522
Vietnam,2012,0.467375059,0.494603755,0.038021186
Vietnam,2013,0.448096503,0.513245732,0.038657765
Vietnam,2014,0.43979969,0.520550993,0.039649318
Vietnam,2015,0.436625731,0.522479028,0.040895241
Vietnam,2016,0.434864241,0.522956299,0.042179461
Vietnam,2017,0.419778653,0.537084049,0.043137298
