Entity,Year,Deaths - Air pollution
China,2008,95.4391289
China,2009,94.24721802
China,2010,92.97014294
China,2011,90.6548837
China,2012,85.77144184
China,2013,81.73468623
China,2014,78.990323
China,2015,78.25140892
China,2016,74.70570935
China,2017,72.67678886
India,2008,147.3248123
India,2009,145.8736142
India,2010,145.2205596
India,2011,144.7434524
India,2012,141.7831772
India,2013,140.0034701
India,2014,137.5978149
India,2015,136.3533402
India,2016,134.6439384
India,2017,131.9940186
Indonesia,2008,81.29453669
Indonesia,2009,79.77970486
Indonesia,2010,77.86785713
Indonesia,2011,76.3094922
Indonesia,2012,74.74350185
Indonesia,2013,72.17566207
Indonesia,2014,70.36964746
Indonesia,2015,69.32689892
Indonesia,2016,67.61282231
Indonesia,2017,66.18593255
Japan,2008,14.86508913
Japan,2009,14.48906522
Japan,2010,14.31376632
Japan,2011,14.27382092
Japan,2012,13.26256262
Japan,2013,13.05755392
Japan,2014,12.27487438
Japan,2015,11.94683959
Japan,2016,11.34093187
Japan,2017,11.38609245
Malaysia,2008,59.77707689
Malaysia,2009,60.2994195
Malaysia,2010,58.1878326
Malaysia,2011,55.56918632
Malaysia,2012,54.72879541
Malaysia,2013,51.35979514
Malaysia,2014,51.38007567
Malaysia,2015,52.55961698
Malaysia,2016,49.77763583
Malaysia,2017,50.44055047
Philippines,2008,117.1521174
Philippines,2009,119.3761707
Philippines,2010,120.1455757
Philippines,2011,120.3297812
Philippines,2012,120.051464
Philippines,2013,117.8955455
Philippines,2014,115.5486138
Philippines,2015,114.2889761
Philippines,2016,109.8373196
Philippines,2017,106.8724834
Singapore,2008,29.18305658
Singapore,2009,26.76132591
Singapore,2010,25.45423536
Singapore,2011,23.98975185
Singapore,2012,24.16397987
Singapore,2013,21.9384267
Singapore,2014,20.3949634
Singapore,2015,21.70642761
Singapore,2016,19.93263582
Singapore,2017,19.98012765
South Korea,2008,29.64419097
South Korea,2009,28.34955686
South Korea,2010,27.58401418
South Korea,2011,27.08048429
South Korea,2012,25.94749049
South Korea,2013,25.30484922
South Korea,2014,23.55843778
South Korea,2015,23.47566902
South Korea,2016,21.88470835
South Korea,2017,21.69790199
Thailand,2008,43.15141795
Thailand,2009,41.06128264
Thailand,2010,40.50649646
Thailand,2011,39.29446136
Thailand,2012,37.66813809
Thailand,2013,35.90994368
Thailand,2014,34.65111051
Thailand,2015,33.32841119
Thailand,2016,33.06040556
Thailand,2017,32.81342263
Vietnam,2008,75.85441883
Vietnam,2009,74.12937174
Vietnam,2010,72.05496202
Vietnam,2011,70.13565651
Vietnam,2012,68.09119715
Vietnam,2013,66.67658948
Vietnam,2014,65.01125496
Vietnam,2015,63.13581276
Vietnam,2016,61.47304851
Vietnam,2017,60.3175333
